LOCATION,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,AREA_PER_BEDROOM,TOTAL_ROOMS,IS_NEW
"Sundarbasti, Kathmandu",north-east,2.5,4.0,4.0,1129.425,13.0,10.0,1,1,0,0,282.35625,8.0,0
"Baluwakhani, Kathmandu",west,3.0,7.0,4.0,1711.25,13.0,8.0,1,0,1,1,244.46428571428572,11.0,0
"Budhanilkantha, Kathmandu",south-west,2.5,5.0,4.0,2053.5,15.0,6.0,1,0,1,0,410.7,9.0,0
"Mahadevtar, Kathmandu",south,2.5,6.0,5.0,3490.95,20.0,12.0,1,0,1,0,581.8249999999999,11.0,0
"Thapagaun, Kathmandu",east,2.5,3.0,3.0,1437.45,12.0,5.0,1,0,0,0,479.15000000000003,6.0,0
"Pepsicola, Kathmandu",south,3.5,6.0,6.0,2121.9500000000003,20.0,4.0,1,0,0,1,353.65833333333336,12.0,0
"Budhanilkantha, Kathmandu",north,2.5,5.0,4.0,1745.475,15.0,6.0,1,0,0,0,349.09499999999997,9.0,0
"Bouddha, Kathmandu",east,2.5,6.0,4.0,1369.0,18.0,4.0,1,0,0,0,228.16666666666666,10.0,0
"Nakhipot, Lalitpur",east,2.5,6.0,5.0,1369.0,12.5,27.0,1,0,0,0,228.16666666666666,11.0,0
"Budhanilkantha, Kathmandu",west,2.5,6.0,5.0,1369.0,13.0,4.0,1,0,0,0,228.16666666666666,11.0,0
"Ganesh Chowk, Kathmandu",north-east,2.5,6.0,5.0,2087.725,12.0,6.0,1,0,0,1,347.95416666666665,11.0,0
"Imadol, Lalitpur",east,2.5,4.0,3.0,1095.2,13.0,2.0,1,0,0,0,273.8,7.0,1
"Chunikhel, Kathmandu",south-east,2.5,5.0,3.0,1060.975,13.0,8.0,1,0,0,0,212.195,8.0,0
"Imadol, Lalitpur",south-east,3.0,5.0,3.0,1026.75,13.0,8.0,1,0,0,0,205.35,8.0,0
"Budhanilkantha, Kathmandu",south,3.0,6.0,6.0,1095.2,16.0,6.0,1,1,0,0,182.53333333333333,12.0,0
"Bhaisepati, Lalitpur",south-west,2.5,4.0,4.0,1129.425,13.0,7.0,1,1,0,1,282.35625,8.0,0
"Sitapaila, Kathmandu",west,1.0,2.0,1.0,1026.75,13.0,2.0,1,0,0,0,513.375,3.0,1
"Imadol, Lalitpur",east,3.0,3.0,3.0,787.175,13.0,3.0,1,1,0,1,262.39166666666665,6.0,0
"Mid Baneshwor, Kathmandu",south,2.5,5.0,5.0,1026.75,14.0,3.0,1,1,1,0,205.35,10.0,0
"Mulpani, Kathmandu",south,2.5,6.0,3.0,1026.75,11.5,4.0,1,0,0,0,171.125,9.0,0
"Pasikot, Kathmandu",east,2.5,5.0,3.0,1300.55,13.0,7.0,1,0,0,1,260.11,8.0,0
"Hattigaunda, Kathmandu",south,2.0,5.0,7.0,2053.5,20.0,27.0,0,0,1,1,410.7,12.0,0
"Tikathali, Lalitpur",west,2.5,5.0,4.0,1026.75,13.0,4.0,1,0,0,0,205.35,9.0,0
"Gwarko, Lalitpur",north,2.5,5.0,4.0,1060.975,12.0,12.0,1,1,0,0,212.195,9.0,0
"Ranibari, Kathmandu",west,3.0,6.0,3.0,1369.0,22.0,10.0,1,0,0,0,228.16666666666666,9.0,0
"Tikathali, Lalitpur",south,2.5,4.0,3.0,1095.2,13.0,8.0,1,1,0,0,273.8,7.0,0
"Jyotinagar, Kathmandu",north,3.5,5.0,4.0,1437.45,16.0,8.0,1,1,0,0,287.49,9.0,0
"Maharajgunj, Kathmandu",east,4.0,8.0,8.0,1437.45,17.0,6.0,1,0,0,0,179.68125,16.0,0
"Nakkhu, Lalitpur",east,2.5,4.0,4.0,1711.25,13.0,10.0,1,0,1,1,427.8125,8.0,0
"Baluwakhani, Kathmandu",east,2.5,5.0,4.0,1711.25,14.0,23.0,1,0,0,0,342.25,9.0,0
"Dhumbarahi, Kathmandu",east,2.5,3.0,3.0,1369.0,10.0,28.0,1,0,0,0,456.3333333333333,6.0,0
"Imadol, Lalitpur",west,3.5,5.0,3.0,1026.75,20.0,9.0,1,0,0,0,205.35,8.0,0
"Tikathali, Lalitpur",east,2.0,4.0,2.0,1369.0,13.0,10.0,1,0,1,1,342.25,6.0,0
"Harisiddhi, Lalitpur",east,2.5,5.0,3.0,1095.2,13.0,7.0,1,0,0,0,219.04000000000002,8.0,0
"Sipadol, Bhaktapur",south,2.5,5.0,3.0,1403.225,13.0,5.0,1,0,1,0,280.645,8.0,0
"Imadol, Lalitpur",east,2.5,4.0,3.0,1437.45,13.0,14.0,1,1,0,0,359.3625,7.0,0
"Imadol, Lalitpur",east,2.5,6.0,5.0,1060.975,13.0,6.0,1,1,0,1,176.82916666666665,11.0,0
"Hattiban, Lalitpur",east,3.5,8.0,4.0,1095.2,13.0,8.0,1,0,0,0,136.9,12.0,0
"Imadol, Lalitpur",east,3.0,7.0,6.0,1026.75,13.0,6.0,1,1,0,0,146.67857142857142,13.0,0
"Bhaktapur, Bhaktapur",west,2.0,3.0,2.0,1095.2,14.0,10.0,1,0,0,0,365.06666666666666,5.0,0
"Dhapasi, Kathmandu",north-west,2.5,4.0,2.0,787.175,13.0,13.0,1,1,0,0,196.79375,6.0,0
"Baluwatar, Kathmandu",east,2.5,6.0,3.0,2806.45,14.0,32.0,1,0,0,0,467.7416666666666,9.0,0
"Ochu Height, Lalitpur",south,2.5,6.0,6.0,1095.2,13.0,5.0,1,0,0,1,182.53333333333333,12.0,0
"Samakhusi, Kathmandu",west,3.5,10.0,4.0,2087.725,15.0,5.0,1,0,1,0,208.77249999999998,14.0,0
"Imadol, Lalitpur",west,2.5,4.0,4.0,787.175,10.0,22.0,1,1,0,1,196.79375,8.0,0
"Tikathali, Lalitpur",west,2.5,5.0,4.0,787.175,13.0,8.0,1,0,0,0,157.435,9.0,0
"Duwakot, Bhaktapur",south-west,3.0,5.0,4.0,1711.25,16.5,8.0,1,0,0,0,342.25,9.0,0
"Dhapasi, Kathmandu",south-east,2.5,5.0,4.0,1437.45,13.0,14.0,1,0,0,0,287.49,9.0,0
"Sanepa, Lalitpur",south-east,3.0,3.0,2.0,855.625,13.0,3.0,1,1,0,0,285.2083333333333,5.0,0
"Baluwa, Kathmandu",north,2.5,5.0,4.0,1095.2,13.0,17.0,1,0,0,0,219.04000000000002,9.0,0
"Hattigaunda, Kathmandu",west,2.5,4.0,5.0,2121.9500000000003,20.0,17.0,0,0,1,1,530.4875000000001,9.0,0
" Bafal,  Kathmandu",west,2.5,5.0,3.0,1026.75,12.0,4.0,0,0,0,1,205.35,8.0,0
"Sunakothi, Lalitpur",east,2.5,3.0,3.0,2053.5,15.0,13.0,1,0,0,0,684.5,6.0,0
"Bhaisepati, Lalitpur",north-west,2.5,5.0,6.0,2190.4,13.0,4.0,1,0,0,0,438.08000000000004,11.0,0
"Sitapaila, Kathmandu",north,3.5,9.0,3.0,1369.0,12.0,6.0,1,1,0,0,152.11111111111111,12.0,0
"Thankot, Kathmandu",east,2.5,5.0,4.0,1095.2,13.0,8.0,1,0,0,0,219.04000000000002,9.0,0
"Sukedhara, Kathmandu",east,2.5,5.0,4.0,1369.0,13.0,8.0,1,0,0,0,273.8,9.0,0
"Balkot, Bhaktapur",south,3.0,4.0,4.0,1369.0,20.0,5.0,1,0,0,1,342.25,8.0,0
"Dhapasi, Kathmandu",west,2.5,7.0,6.0,1437.45,13.0,2.0,1,1,0,0,205.35,13.0,1
"Bhaisepati, Lalitpur",south,2.5,5.0,5.0,1437.45,16.0,6.0,1,1,0,0,287.49,10.0,0
"Mahadevsthan, Kathmandu",south,2.5,6.0,3.0,1711.25,10.0,8.0,1,1,1,0,285.2083333333333,9.0,0
"Harisiddhi, Lalitpur",west,2.5,5.0,4.0,1026.75,20.0,6.0,1,0,0,0,205.35,9.0,0
"Bafal, Kathmandu",north-east,2.5,4.0,3.0,1095.2,13.0,5.0,1,0,0,0,273.8,7.0,0
"Budhanilkantha, Kathmandu",north,3.0,10.0,8.0,2395.75,15.0,9.0,1,0,0,0,239.575,18.0,0
"Koteshwor, Kathmandu",east,3.5,5.0,6.0,1369.0,26.0,18.0,1,0,1,0,273.8,11.0,0
"Gurjudhara, Kathmandu",east,1.5,8.0,4.0,1026.75,13.0,3.0,1,0,0,0,128.34375,12.0,0
"Tikathali, Lalitpur",south-east,2.5,6.0,5.0,1026.75,13.0,4.0,1,0,0,1,171.125,11.0,0
"Sitapaila, Kathmandu",north,3.5,5.0,4.0,1369.0,10.0,10.0,1,0,0,0,273.8,9.0,0
"Kusunti, Lalitpur",south,2.5,5.0,3.0,1369.0,15.0,20.0,1,0,0,0,273.8,8.0,0
"Budhanilkantha, Kathmandu",north-east,2.5,5.0,4.0,1471.675,14.0,17.0,1,1,0,1,294.335,9.0,0
"Hattigaunda, Kathmandu",north-east,2.0,7.0,4.0,2087.725,14.0,15.0,1,0,0,0,298.24642857142857,11.0,0
"Basanti Chowk, Kathmandu",south,2.5,4.0,4.0,1026.75,10.0,17.0,1,0,0,0,256.6875,8.0,0
"Hepali Height, Kathmandu",north,3.5,4.0,4.0,1711.25,16.0,2.0,1,1,1,0,427.8125,8.0,1
" Lolang,  Kathmandu",south-west,2.5,6.0,3.0,1403.225,10.0,4.0,1,0,1,0,233.8708333333333,9.0,0
"Lolang, Kathmandu",west,3.5,5.0,3.0,1095.2,26.0,8.0,1,0,0,0,219.04000000000002,8.0,0
"Nakkhu, Lalitpur",west,2.5,3.0,3.0,1026.75,13.0,4.0,1,0,1,0,342.25,6.0,0
"Balambu, Kathmandu",south-east,2.5,5.0,4.0,1369.0,13.0,6.0,0,1,0,1,273.8,9.0,0
"Ghattekulo, Kathmandu",east,3.5,6.0,3.0,1095.2,18.0,22.0,0,0,0,1,182.53333333333333,9.0,0
"Thecho, Lalitpur",north,2.5,4.0,4.0,1369.0,16.0,8.0,1,0,0,0,342.25,8.0,0
"Maijubahal, Kathmandu",north,3.5,5.0,3.0,2121.9500000000003,8.0,6.0,0,0,1,0,424.39000000000004,8.0,0
"Setipakha, Lalitpur",west,3.0,8.0,8.0,1369.0,13.0,12.0,0,0,1,1,171.125,16.0,0
"Imadol, Lalitpur",east,2.5,5.0,5.0,1026.75,13.0,4.0,1,0,0,0,205.35,10.0,0
"Dhapasi, Kathmandu",north-east,2.5,5.0,4.0,1369.0,13.0,4.0,1,0,0,0,273.8,9.0,0
"Bhadrabas, Kathmandu",north,1.0,2.0,2.0,1369.0,20.0,10.0,1,0,0,0,684.5,4.0,0
"Tikathali, Lalitpur",north-west,2.5,5.0,4.0,1403.225,13.0,6.0,1,1,0,0,280.645,9.0,0
"Budhanilkantha, Kathmandu",west,2.5,5.0,5.0,1711.25,13.0,10.0,1,0,0,0,342.25,10.0,0
"Omsatiya, Rupandehi",east,2.5,4.0,4.0,1369.0,23.0,3.0,1,1,1,1,342.25,8.0,0
"Ramkot, Kathmandu",north,2.0,4.0,2.0,1369.0,20.0,17.0,1,0,0,0,342.25,6.0,0
"Budhanilkantha, Kathmandu",north,2.0,4.0,4.0,3251.375,12.5,13.0,1,0,0,0,812.84375,8.0,0
"Bafal, Kathmandu",south-east,4.0,4.0,5.0,1369.0,13.0,4.0,1,1,0,1,342.25,9.0,0
"Imadol, Lalitpur",west,2.5,5.0,4.0,1026.75,20.0,10.0,1,1,0,0,205.35,9.0,0
"Bhaisepati, Lalitpur",south-west,2.5,5.0,5.0,2053.5,16.5,4.0,1,0,0,0,410.7,10.0,0
"Harisiddhi, Lalitpur",west,2.5,4.0,4.0,1060.975,13.0,14.0,1,1,0,0,265.24375,8.0,0
"Imadol, Lalitpur",east,3.5,5.0,3.0,1095.2,13.0,17.0,1,0,0,0,219.04000000000002,8.0,0
"Thulobharyang, Kathmandu",south,1.0,3.0,1.0,752.95,10.0,6.0,1,0,0,0,250.98333333333335,4.0,0
"Dhumbarahi, Kathmandu",east,2.5,5.0,4.0,1437.45,10.0,6.0,1,0,0,0,287.49,9.0,0
"Imadol, Lalitpur",west,2.5,5.0,4.0,1095.2,13.0,10.0,1,1,0,0,219.04000000000002,9.0,0
"Dharmasthali, Kathmandu",north-east,1.0,2.0,1.0,1437.45,13.0,6.0,0,0,0,1,718.725,3.0,0
"Shantinagar, Kathmandu",south,2.0,9.0,4.0,1026.75,13.0,10.0,1,1,0,0,114.08333333333333,13.0,0
"Dhumbarahi, Kathmandu",north-west,2.5,4.0,4.0,3422.5,13.0,14.0,1,0,0,0,855.625,8.0,0
"Ganesh Chowk, Kathmandu",west,2.5,4.0,5.0,1369.0,13.0,3.0,0,0,0,1,342.25,9.0,0
"Sitapaila, Kathmandu",north,2.5,6.0,3.0,1437.45,12.0,22.0,1,0,0,0,239.57500000000002,9.0,0
"Sanagaun, Lalitpur",south,2.5,5.0,3.0,787.175,20.0,14.0,1,1,0,0,157.435,8.0,0
"Banasthali, Kathmandu",east,2.5,4.0,5.0,3764.75,20.0,4.0,1,0,0,0,941.1875,9.0,0
"Nayabazar, Kathmandu",east,3.0,8.0,3.0,1026.75,15.0,6.0,1,0,0,0,128.34375,11.0,0
"Mulpani, Kathmandu",north,2.5,5.0,4.0,1369.0,20.0,10.0,1,0,0,1,273.8,9.0,0
"Bhaisepati, Lalitpur",east,2.5,4.0,4.0,1437.45,20.0,10.0,1,1,1,0,359.3625,8.0,0
"Hattiban, Lalitpur",east,4.0,4.0,4.0,1026.75,12.0,3.0,1,0,0,0,256.6875,8.0,0
"Ochu Height, Lalitpur",west,2.5,4.0,4.0,1026.75,13.0,4.0,1,0,1,0,256.6875,8.0,0
"Hattigaunda, Kathmandu",north-east,3.0,4.0,3.0,2121.9500000000003,13.0,12.0,0,0,0,0,530.4875000000001,7.0,0
"Matatirtha, Kathmandu",north-east,1.5,2.0,2.0,1026.75,12.0,4.0,1,0,0,0,513.375,4.0,0
"Imadol, Lalitpur",east,2.5,6.0,4.0,1813.925,16.0,4.0,1,0,1,0,302.3208333333333,10.0,0
"Imadol, Lalitpur",north-east,3.0,6.0,5.0,1779.7,13.0,3.0,1,1,0,0,296.6166666666667,11.0,0
"Gurjudhara, Kathmandu",south,2.5,5.0,4.0,1369.0,13.0,17.0,0,1,0,0,273.8,9.0,0
"Pasikot, Kathmandu",north,2.5,5.0,4.0,1711.25,13.0,5.0,1,0,0,1,342.25,9.0,0
"Khumaltar, Lalitpur",south-east,3.5,5.0,4.0,1403.225,13.0,4.0,1,0,0,0,280.645,9.0,0
"Bafal, Kathmandu",east,2.5,4.0,4.0,1437.45,13.0,6.0,1,0,0,0,359.3625,8.0,0
"Dhapasi, Kathmandu",south-east,2.5,3.0,4.0,2087.725,15.0,7.0,1,0,1,0,695.9083333333333,7.0,0
"Padamsal, Kathmandu",west,3.0,5.0,4.0,1095.2,13.0,4.0,1,0,0,1,219.04000000000002,9.0,0
"Thankot, Kathmandu",south-west,2.5,5.0,3.0,787.175,13.0,4.0,1,0,0,0,157.435,8.0,0
"Ram Mandir, Kathmandu",north,2.5,6.0,4.0,1711.25,16.0,5.0,1,0,0,0,285.2083333333333,10.0,0
"Nepaltar, Kathmandu",south,2.5,5.0,3.0,1026.75,10.0,22.0,1,0,0,0,205.35,8.0,0
"Kapan, Kathmandu",south,2.5,6.0,4.0,2395.75,13.0,14.0,1,0,1,1,399.2916666666667,10.0,0
"Kapan, Kathmandu",east,1.0,4.0,4.0,1060.975,13.0,8.0,1,0,0,0,265.24375,8.0,0
"Lubhu, Lalitpur",north-east,2.5,5.0,2.0,752.95,13.0,6.0,1,0,0,0,150.59,7.0,0
"Sundarbasti, Kathmandu",north-east,2.5,6.0,5.0,1711.25,13.0,8.0,1,0,0,0,285.2083333333333,11.0,0
"Imadol, Lalitpur",north,1.5,4.0,1.0,1026.75,11.0,8.0,1,0,0,0,256.6875,5.0,0
"Deuwa chowk, Kathmandu",east,2.5,5.0,4.0,1026.75,13.0,8.0,1,0,0,0,205.35,9.0,0
"Paiyuntar, Kathmandu",west,4.0,7.0,5.0,1060.975,10.0,12.0,0,0,0,0,151.56785714285712,12.0,0
"Nagarjun, Kathmandu",north-east,2.5,4.0,3.0,1060.975,16.0,8.0,1,0,0,0,265.24375,7.0,0
