FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED,FACING_ENCODED,AREA_PER_BEDROOM,TOTAL_ROOMS,IS_NEW,CITY_TIER,LOCATION_PRICE_TIER,LOCATION_PREMIUM_RATIO
2.5,4.0,4.0,1129.425,13.0,10.0,1,1,0,0,34144444.44444445,2,282.35625,8.0,0,3,2,1.02868546414317
3.0,7.0,4.0,1711.25,13.0,8.0,1,0,1,1,29250000.0,7,244.4642857142857,11.0,0,3,1,0.8812282734646583
2.5,5.0,4.0,2053.5,15.0,6.0,1,0,1,0,51359210.526315786,6,410.7,9.0,0,3,2,1.547322680978228
2.5,6.0,5.0,3490.95,20.0,12.0,1,0,1,0,53250000.0,4,581.8249999999999,11.0,0,3,2,1.6042873696407882
2.5,3.0,3.0,1437.45,12.0,5.0,1,0,0,0,43000000.0,0,479.15,6.0,0,3,2,1.2954808806488993
3.5,6.0,6.0,2121.9500000000003,20.0,4.0,1,0,0,1,31833333.33333333,4,353.65833333333336,12.0,0,3,2,0.959057551178061
2.5,5.0,4.0,1745.475,15.0,6.0,1,0,0,0,51359210.526315786,1,349.095,9.0,0,3,2,1.547322680978228
2.5,6.0,4.0,1369.0,18.0,4.0,1,0,0,0,59000000.0,0,228.16666666666663,10.0,0,3,2,1.7775202780996526
2.5,6.0,5.0,1369.0,12.5,27.0,1,0,0,0,34208333.333333336,0,228.16666666666663,11.0,0,3,2,1.0306102742371575
2.5,6.0,5.0,1369.0,13.0,4.0,1,0,0,0,51359210.526315786,7,228.16666666666663,11.0,0,3,2,1.547322680978228
2.5,6.0,5.0,2087.725,12.0,6.0,1,0,0,1,42962500.0,2,347.95416666666665,11.0,0,3,2,1.2943511008111241
2.5,4.0,3.0,1095.2,13.0,2.0,1,0,0,0,29527777.777777776,0,273.8,7.0,1,3,1,0.8895970130037338
2.5,5.0,3.0,1060.975,13.0,8.0,1,0,0,0,20000000.0,5,212.195,8.0,0,3,1,0.6025492468134416
3.0,5.0,3.0,1026.75,13.0,8.0,1,0,0,0,29527777.777777776,5,205.35,8.0,0,3,1,0.8895970130037338
3.0,6.0,6.0,1095.2,16.0,6.0,1,1,0,0,51359210.526315786,4,182.53333333333333,12.0,0,3,2,1.547322680978228
2.5,4.0,4.0,1129.425,13.0,7.0,1,1,0,1,47632203.38983051,6,282.35625,8.0,0,3,2,1.4350374138303514
1.0,2.0,1.0,1026.75,13.0,2.0,1,0,0,0,31995000.0,7,513.375,3.0,1,3,2,0.9639281575898031
3.0,3.0,3.0,787.175,13.0,3.0,1,1,0,1,29527777.777777776,0,262.39166666666665,6.0,0,3,1,0.8895970130037338
2.5,5.0,5.0,1026.75,14.0,3.0,1,1,1,0,73833333.33333333,4,205.35,10.0,0,3,3,2.2244109694862884
2.5,6.0,3.0,1026.75,11.5,4.0,1,0,0,0,20250000.0,4,171.125,9.0,0,3,1,0.6100811123986096
2.5,5.0,3.0,1300.55,13.0,7.0,1,0,0,1,32693333.33333333,0,260.11,8.0,0,3,2,0.984967168791039
2.0,5.0,7.0,2053.5,20.0,27.0,0,0,1,1,42730769.23076923,4,410.7,12.0,0,3,2,1.2873696407879491
2.5,5.0,4.0,1026.75,13.0,4.0,1,0,0,0,25147058.82352941,7,205.35,9.0,0,3,1,0.7576170676845478
2.5,5.0,4.0,1060.975,12.0,12.0,1,1,0,0,26142857.14285714,1,212.195,9.0,0,3,1,0.7876179440489985
