LOCATION,PRICE,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED
"Imadol, Lalitpur",29000000.0,west,3.0,5.0,4.0,1369.0,12.0,6.0,1,0,0,1,29527777.777777776
"Satdobato, Lalitpur",47500000.0,west,4.5,5.0,6.0,1026.75,10.0,6.0,1,0,0,1,43187500.0
"Imadol, Lalitpur",19900000.0,west,2.5,4.0,4.0,787.175,10.0,22.0,1,1,0,1,29527777.777777776
"Bhaisepati, Lalitpur",40000000.0,north-west,2.5,4.0,3.0,2395.75,12.0,23.0,1,1,1,1,47632203.38983051
"Bhaisepati, Lalitpur",33000000.0,north-west,2.5,4.0,3.0,1095.2,13.0,8.0,1,0,0,0,47632203.38983051
"Budhanilkantha, Kathmandu",40000000.0,north-east,2.5,5.0,4.0,1471.675,14.0,17.0,1,1,0,1,51359210.526315786
"Gyaneshwor, Kathmandu",45000000.0,west,5.5,13.0,5.0,752.95,10.0,16.0,1,0,0,1,45000000.0
"Bhaisepati, Lalitpur",30000000.0,east,3.0,5.0,5.0,1711.25,12.0,7.0,1,1,0,0,47632203.38983051
"Imadol, Lalitpur",49900000.0,north-east,3.0,6.0,5.0,1779.7,13.0,3.0,1,1,0,0,29527777.777777776
"Kharibot, Kathmandu",24500000.0,south,2.5,4.0,2.0,1026.75,16.0,12.0,0,1,0,0,31575000.0
"Bafal, Kathmandu",25000000.0,south-east,4.0,4.0,5.0,1369.0,13.0,4.0,1,1,0,1,39055555.55555555
"Khumaltar, Lalitpur",42500000.0,south-east,2.5,4.0,4.0,1369.0,20.0,4.0,1,1,0,0,44153846.15384615
"Bhaisepati, Lalitpur",65000000.0,south-east,2.5,4.0,5.0,2121.9500000000003,12.0,5.0,1,1,0,0,47632203.38983051
"Bhaisepati, Lalitpur",36000000.0,south-west,2.5,4.0,5.0,1437.45,13.0,5.0,1,1,0,1,47632203.38983051
"Khumaltar, Lalitpur",58000000.0,north-west,3.5,6.0,6.0,1711.25,14.0,4.0,1,1,0,0,44153846.15384615
"Bhaisepati, Lalitpur",25000000.0,south-east,3.5,5.0,7.0,1095.2,12.0,4.0,1,1,0,0,47632203.38983051
"Bhaisepati, Lalitpur",48000000.0,south-east,3.0,4.0,4.0,1779.7,16.0,5.0,1,1,0,0,47632203.38983051
"Tahachal, Kathmandu",66500000.0,north,3.0,4.0,5.0,1403.225,20.0,5.0,1,1,0,0,104333333.33333333
"Dhapasi, Kathmandu",133000000.0,north-east,2.5,5.0,5.0,3285.6,14.0,5.0,1,1,1,0,38452173.91304348
"Thecho, Lalitpur",85000000.0,east,3.5,5.0,7.0,2395.75,12.0,4.0,1,1,0,0,45833333.333333336
"Bhaisepati, Lalitpur",55000000.0,north-east,2.5,4.0,5.0,1711.25,12.0,4.0,1,0,0,1,47632203.38983051
"Bhaisepati, Lalitpur",47500000.0,south,2.5,4.0,4.0,1060.9750000000001,20.0,7.0,1,1,0,0,47632203.38983051
"Imadol, Lalitpur",29500000.0,south,3.0,5.0,4.0,1095.2,13.0,7.0,1,0,0,1,29527777.777777776
"Sanepa, Lalitpur",63500000.0,north-west,2.5,5.0,3.0,1711.25,10.0,4.0,1,0,0,1,66750000.0
"Bhaisepati, Lalitpur",85000000.0,west,2.5,5.0,6.0,2395.75,13.0,7.0,1,1,0,1,47632203.38983051
"Maharajgunj, Kathmandu",105000000.0,south,2.5,4.0,4.0,3764.75,12.0,4.0,1,1,1,0,87200000.0
"Bhaisepati, Lalitpur",64000000.0,east,2.5,4.0,4.0,2395.75,26.0,7.0,1,1,0,0,47632203.38983051
"Sunakothi, Lalitpur",35000000.0,north,2.5,3.0,4.0,1369.0,20.0,2.0,1,1,0,0,44000000.0
"Kapan, Kathmandu",22000000.0,south,2.5,6.0,5.0,1026.75,16.0,4.0,1,0,0,0,27269230.769230768
"Dhobighat, Lalitpur",37500000.0,south,2.5,4.0,4.0,1026.75,16.0,4.0,1,0,0,1,37500000.0
"Hattiban, Lalitpur",80000000.0,south,2.0,5.0,4.0,2053.5,20.0,4.0,1,1,0,1,40300000.0
"Satdobato, Lalitpur",55000000.0,south-east,3.5,6.0,7.0,1437.45,13.0,5.0,1,1,0,1,43187500.0
"Bhaisepati, Lalitpur",55000000.0,south-west,2.5,4.0,4.0,1129.425,13.0,7.0,1,1,0,1,47632203.38983051
"Sanepa, Lalitpur",77500000.0,south-west,2.5,5.0,5.0,3080.25,20.0,4.0,1,1,0,1,66750000.0
"Budhanilkantha, Kathmandu",160000000.0,north,2.5,7.0,7.0,4107.0,13.0,8.0,1,1,1,0,51359210.526315786
"Imadol, Lalitpur",31900000.0,south,2.5,5.0,3.0,1403.225,13.0,4.0,1,1,0,0,29527777.777777776
"Sitapaila, Kathmandu",25000000.0,west,2.5,4.0,3.0,1026.75,13.0,8.0,1,1,0,0,31995000.0
"Pokhara, Kaski",120000000.0,west,2.5,4.0,4.0,3764.75,20.0,2.0,1,1,0,1,59166666.666666664
"Bhaisepati, Lalitpur",62500000.0,north-west,2.5,5.0,6.0,2190.4,13.0,4.0,1,0,0,0,47632203.38983051
"Budhanilkantha, Kathmandu",160000000.0,north,2.5,7.0,7.0,4107.0,12.0,4.0,1,1,0,1,51359210.526315786
"Hattiban, Lalitpur",28000000.0,north,2.5,4.0,4.0,752.95,12.0,4.0,1,1,0,1,40300000.0
"Imadol, Lalitpur",59900000.0,east,2.5,5.0,5.0,2395.75,20.0,4.0,1,1,0,0,29527777.777777776
"Bhaisepati, Lalitpur",48000000.0,south,2.5,6.0,4.0,1711.25,25.0,4.0,1,1,0,1,47632203.38983051
"Imadol, Lalitpur",25000000.0,north,3.0,5.0,3.0,1060.9750000000001,13.0,6.0,1,1,0,1,29527777.777777776
"Bhaisepati, Lalitpur",40000000.0,north-east,2.5,4.0,5.0,1369.0,18.0,6.0,1,1,0,0,47632203.38983051
"Nakhipot, Lalitpur",60000000.0,east,2.5,5.0,3.0,2395.75,13.0,6.0,1,1,0,0,34208333.333333336
"Imadol, Lalitpur",25000000.0,west,2.5,4.0,4.0,1197.875,12.0,11.0,1,0,0,1,29527777.777777776
"Imadol, Lalitpur",27000000.0,east,2.0,5.0,4.0,1129.425,12.0,4.0,1,1,0,0,29527777.777777776
"Gwarko, Lalitpur",27500000.0,north,2.5,5.0,4.0,1026.75,12.0,8.0,1,0,0,1,26142857.14285714
"Budhanilkantha, Kathmandu",110000000.0,south-east,2.5,5.0,5.0,3764.75,16.0,5.0,1,1,0,0,51359210.526315786
"Hattiban, Lalitpur",32500000.0,north-east,2.5,6.0,4.0,1129.425,15.0,5.0,1,1,0,0,40300000.0
"Hattiban, Lalitpur",28000000.0,south-west,2.0,5.0,4.0,1060.9750000000001,13.0,4.0,1,1,0,1,40300000.0
"Imadol, Lalitpur",31000000.0,west,3.0,6.0,4.0,1095.2,12.0,4.0,1,1,1,1,29527777.777777776
"Baneshwor, Kathmandu",40000000.0,south,2.5,4.0,4.0,1711.25,13.0,5.0,1,1,0,0,44950000.0
"Tokha, Kathmandu",35000000.0,north,2.5,3.0,3.0,2053.5,15.0,7.0,0,1,0,0,32375000.0
"Imadol, Lalitpur",31500000.0,east,2.0,6.0,5.0,1779.7,20.0,4.0,0,0,0,1,29527777.777777776
"Ochu Height, Lalitpur",29000000.0,south,2.5,6.0,6.0,1095.2,13.0,5.0,1,0,0,1,27000000.0
"Imadol, Lalitpur",42500000.0,east,3.0,5.0,4.0,1437.45,20.0,4.0,1,0,0,1,29527777.777777776
"Bhaisepati, Lalitpur",46500000.0,south-east,2.0,4.0,4.0,1369.0,12.0,8.0,1,0,0,1,47632203.38983051
"Sanepa, Lalitpur",59500000.0,north-east,3.0,6.0,5.0,1711.25,16.0,4.0,1,1,0,1,66750000.0
"Nakkhu, Lalitpur",39000000.0,east,2.5,4.0,4.0,1711.25,13.0,4.0,1,0,0,1,33960000.0
"Setipakha, Lalitpur",32000000.0,east,3.0,8.0,3.0,1369.0,13.0,4.0,1,1,1,0,25642857.14285714
"Setipakha, Lalitpur",32500000.0,east,3.0,8.0,3.0,1369.0,13.0,5.0,1,1,1,1,25642857.14285714
"Sunakothi, Lalitpur",51500000.0,south,2.5,4.0,4.0,2429.975,20.0,8.0,1,0,1,0,44000000.0
"Kalanki, Kathmandu",35000000.0,south,3.5,8.0,6.0,1369.0,10.0,7.0,1,1,0,0,34900000.0
"Imadol, Lalitpur",32500000.0,east,2.5,4.0,4.0,1471.675,20.0,4.0,1,0,1,0,29527777.777777776
"Bhangal , Kathmandu",32000000.0,north,2.5,5.0,6.0,1060.9750000000001,13.0,8.0,1,1,0,0,27633333.333333332
"Sukedhara, Kathmandu",55000000.0,south,2.5,5.0,3.0,1779.7,13.0,7.0,1,1,0,0,33192307.692307692
"Setipakha, Lalitpur",23000000.0,east,2.5,5.0,3.0,787.175,13.0,8.0,1,1,1,1,25642857.14285714
"Chandragiri, Kathmandu",17000000.0,east,2.0,3.0,3.0,1129.425,20.0,4.0,1,1,0,0,20920000.0
"Imadol, Lalitpur",24000000.0,south,3.5,5.0,4.0,787.175,13.0,5.0,1,1,0,0,29527777.777777776
"Tikathali, Lalitpur",27500000.0,south,2.5,4.0,4.0,1369.0,13.0,8.0,1,1,0,0,25147058.82352941
"Tikathali, Lalitpur",22500000.0,south,2.5,4.0,3.0,1095.2,13.0,8.0,1,1,0,0,25147058.82352941
"Lubhu, Lalitpur",18000000.0,east,2.5,4.0,4.0,1437.45,13.0,4.0,1,1,0,0,22600000.0
"Imadol, Lalitpur",25000000.0,south,2.5,3.0,3.0,1095.2,14.0,5.0,1,1,0,0,29527777.777777776
"Setipakha, Lalitpur",16500000.0,north-east,1.0,1.0,1.0,1060.9750000000001,13.0,8.0,1,1,1,1,25642857.14285714
"Bhaisepati, Lalitpur",51000000.0,south,2.5,5.0,5.0,2156.1749999999997,12.0,4.0,1,1,0,0,47632203.38983051
"Imadol, Lalitpur",59900000.0,east,2.5,5.0,3.0,2395.75,20.0,5.0,1,1,0,0,29527777.777777776
